Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	1af403fe-62e7-4905-be2d-894a943b2291
Plate Name	231120_161023-V
Measurement	Measurement 5
Evaluation	Evaluation1

[Data]
Row	Column	Timepoint	Cells Selected - Number of Objects	Cells Selected - Cell Area [µm²] - Mean per Well	Cells Selected - Cell Roundness - Mean per Well	Cells Selected - Intensity Cell Digital Phase Contrast Mean - Mean per Well	Image Region - Image Region Area [µm²] - Sum per Well	Texture A Selected - Region Area [µm²] - Sum per Well	Number of Analyzed Fields	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
5	4	0	770	302.658181668	0.88686270287	2030.23855621	10446506.728	768244.360521	25	0	0	0	0	0					
5	5	0	881	322.810308984	0.881543775805	2048.94724145	10448088.3315	701412.476601	25	0	0	0	0	0					
6	4	0	870	370.648287488	0.878083098136	2181.24640135	10447852.2018	856306.780822	25	0	0	0	0	0					
6	5	0	862	734.614000975	0.872235075455	2337.73031531	10448176.4771	762165.184132	25	0	0	0	0	0					
7	4	0	807	315.181545874	0.886478311719	1895.56416671	10447972.2374	776265.247205	25	0	0	0	0	0					
7	5	0	916	602.946367001	0.880402322622	2227.87504038	10448093.3479	700819.823191	25	0	0	0	0	0					
8	4	0	962	331.877759769	0.873719019752	2318.01991314	10447491.7366	853706.128798	25	0	0	0	0	0					
8	5	0	1039	319.881707349	0.870547329611	2277.73982895	10448214.4585	828985.243649	25	0	0	0	0	0					
5	4	1	835	335.184812688	0.896375831413	2252.71290266	10445891.8591	887138.732417	25	21564.287	0	0	0	0					
5	5	1	840	342.593733822	0.890585677666	1882.01425314	10447974.3873	762436.42877	25	21565.1	0	0	0	0					
6	4	1	980	404.73242177	0.88748521416	2153.49068851	10447558.3833	1044615.05627	25	21564.27	0	0	0	0					
6	5	1	876	769.985095232	0.878137224701	2279.08502335	10448103.3808	935066.62082	25	21565.096999999998	0	0	0	0					
7	4	1	896	348.111255336	0.891426528499	2031.63651301	10447730.3746	921202.329177	25	21564.663	0	0	0	0					
7	5	1	950	561.869227113	0.881924440333	2275.08333638	10447943.5722	816268.277409	25	21564.972999999998	0	0	0	0					
8	4	1	1043	379.165890664	0.879152124086	2478.4068273	10447281.0473	1101883.14808	25	21564.677	0	0	0	0					
8	5	1	1070	370.314448845	0.875732961721	2353.48076842	10448100.8726	1072591.5937	25	21564.862999999998	0	0	0	0					
5	4	2	851	388.46887972	0.902992966169	2127.5964852	10446305.7132	1017987.57572	25	43126.847	0	0	0	0					
5	5	2	886	384.423723971	0.898626839289	1852.27542965	10448114.1302	858094.415563	25	43127.47	0	0	0	0					
6	4	2	994	453.690900509	0.894969587694	2076.19035128	10447726.4331	1237913.22977	25	43127.003	0	0	0	0					
6	5	2	941	732.494214663	0.884940941288	2136.38711504	10448202.2758	1107992.42295	25	43127.47	0	0	0	0					
7	4	2	981	365.480815936	0.894504047056	1991.35691513	10447843.6022	1069701.42297	25	43127.143	0	0	0	0					
7	5	2	1042	529.982629606	0.885427217823	2246.01861469	10448034.9425	953252.552593	25	43127.405999999995	0	0	0	0					
8	4	2	1012	478.946033247	0.899665894681	2483.56360883	10447380.6589	1483390.70202	25	43127.206999999995	0	0	0	0					
8	5	2	1052	481.655726632	0.898596987737	2327.41743687	10448203.3507	1405288.37049	25	43127.377	0	0	0	0					
5	4	3	1028	414.282827553	0.895565971659	1784.5179561099999	10447576.299	1144710.41901	25	70635.46699999999	-2	0	-2	0					
5	5	3	1000	416.835645189	0.896035280652	1803.9593335	10448248.4984	1016903.67211	25	70634.983	-2	0	-2	0					
6	4	3	1189	473.329612436	0.895440111639	1957.60845021	10448325.1779	1500511.00426	25	70635.152999999991	-2	0	-2	0					
6	5	3	1095	712.465191255	0.883681603112	2112.28623625	10448323.7446	1328362.74621	25	70634.997	-2	0	-2	0					
7	4	3	1154	382.078931997	0.894594715898	1979.83921419	10448343.0937	1283675.10254	25	70635.246	-2	0	-2	0					
7	5	3	1231	497.552585864	0.885806618979	2243.85647426	10448312.2785	1141940.6422	25	70635.12	-2	0	-2	0					
8	4	3	1133	552.227670539	0.911951762467	2253.62318837	10447736.8243	1905446.28365	25	70635.027	-2	0	-2	0					
8	5	3	1227	532.004101598	0.904803927178	2155.06366877	10448356.3513	1965054.5323	25	70635.073	-2	0	-2	0					
5	4	4	1256	415.355832911	0.89617367911	1711.15629965	10447576.299	1402407.15763	25	91406.209999999992	-2	0	-2	0					
5	5	4	1196	418.04303693	0.895992658487	1775.81116185	10448182.2101	1238437.80329	25	91408.283	-2	0	-2	0					
6	4	4	1454	475.368008707	0.896479635324	1877.21101882	10448301.8874	1802547.10414	25	91405.87999999999	-2	0	-2	0					
6	5	4	1325	611.378828943	0.888216834063	1994.40087	10448234.5241	1669896.29348	25	91408.296999999991	-2	0	-2	0					
7	4	4	1416	380.129200232	0.890128421341	1908.30566814	10448297.5876	1514240.21106	25	91407.37999999999	-2	0	-2	0					
7	5	4	1400	506.980491299	0.889746166187	2083.11058518	10448280.0302	1310994.48982	25	91408.375999999989	-2	0	-2	0					
8	4	4	1376	550.154253374	0.903536942887	2128.61454384	10447782.3303	2389222.74059	25	91407.113	-2	0	-2	0					
8	5	4	1476	539.116111655	0.902948778441	2066.04667051	10448305.8289	2240208.7478	25	91407.003	-2	0	-2	0					
5	4	5	2199	395.656773662	0.898801953048	1581.49805212	10447587.7651	2383788.88995	25	154310.837	-2	0	-2	0					
5	5	5	2134	402.22346669	0.899329895165	1510.01641401	10448131.6877	2052054.90622	25	154310.243	-2	0	-2	0					
6	4	5	2491	452.482242006	0.894288550344	1703.85108964	10448282.5384	2984815.05183	25	154310.47699999998	-2	0	-2	0					
6	5	5	2205	556.280431325	0.887664418724	1825.82810726	10448195.4678	2685797.39955	25	154310.28999999998	-2	0	-2	0					
7	4	5	2542	361.02699166	0.89745814297	1709.8855322	10448324.8196	2474842.52589	25	154310.463	-2	0	-2	0					
7	5	5	2402	396.071106582	0.899695702286	2005.12514703	10448228.0745	2290350.30777	25	154310.39599999998	-2	0	-2	0					
8	4	5	2409	551.070844033	0.907347752593	1904.33839752	10447774.0891	3829831.31939	25	154310.243	-2	0	-2	0					
8	5	5	2533	550.106692876	0.899657924007	1835.37358898	10448238.4656	3896355.76883	25	154310.46	-2	0	-2	0					
5	4	6	2816	387.702053889	0.89839326334	1472.47487665	10447604.9643	2647000.45845	25	179311.59	-2	0	-2	0					
5	5	6	2653	398.065138105	0.898890768022	1485.20810004	10448068.6242	2521032.58537	25	179311.69999999998	-2	0	-2	0					
6	4	6	3066	447.696896827	0.89347650744	1644.48077763	10448275.0138	3080363.75248	25	179311.353	-2	0	-2	0					
6	5	6	2643	522.875888503	0.890295454152	1788.09729567	10448156.7697	3190345.39105	25	179311.683	-2	0	-2	0					
7	4	6	3165	365.151986993	0.898692702085	1681.07765679	10448321.9531	3069202.2327	25	179311.34	-2	0	-2	0					
7	5	6	2874	402.252993574	0.900335892955	1852.79617779	10448215.5334	3000129.80357	25	179311.743	-2	0	-2	0					
8	4	6	3089	528.793954561	0.897325777483	1831.27722115	10447741.1241	4355457.56329	25	179311.557	-2	0	-2	0					
8	5	6	3176	529.822109966	0.897620551623	1723.10508391	10448225.9246	4278402.94553	25	179311.603	-2	0	-2	0					
5	4	7	3437	376.310548219	0.893610110234	1495.91710709	10447760.8314	3358526.38275	25	200871.444	-2	0	-2	0					
5	5	7	3295	378.840560858	0.89251151852	1462.87511149	10448232.0159	3009231.72734	25	200871.006	-2	0	-2	0					
6	4	7	3843	415.81378914	0.883760868782	1625.80080742	10448387.1664	4241263.57074	25	200871.177	-2	0	-2	0					
6	5	7	3228	492.436699232	0.883996464825	1770.26275648	10448287.9131	3593024.35936	25	200871.00699999998	-2	0	-2	0					
7	4	7	4071	340.293947729	0.891311714932	1582.89324952	10448395.766	3657686.64449	25	200871.446	-2	0	-2	0					
7	5	7	3589	383.781980755	0.897196869431	1806.37819576	10448318.0116	3518216.37816	25	200871.09999999998	-2	0	-2	0					
8	4	7	3713	508.655072018	0.895445672	1827.72568097	10447805.6208	4968107.82993	25	200871.147	-2	0	-2	0					
8	5	7	3851	508.942092721	0.891682405739	1740.77314641	10448312.9952	5100393.87566	25	200871.13	-2	0	-2	0					
5	4	8	4205	357.375271238	0.886700176584	1499.79457052	10445489.1128	3906420.12734	25	222430.667	-1	0	0	0					
5	5	8	4028	365.179540427	0.89153868159	1433.75814516	10447615.7137	3760644.5877	25	222431.62	-1	0	0	0					
6	4	8	4562	409.348380226	0.883372849983	1627.01893946	10447211.1758	4914230.83357	25	222430.697	-1	0	0	0					
6	5	8	3895	463.545574549	0.882307768008	1709.58533633	10447805.2625	4637633.32427	25	222431.243	-1	0	0	0					
7	4	8	4879	344.499211045	0.894802630984	1518.83600316	10447433.6896	4512469.15228	25	222431.18	-1	0	0	0					
7	5	8	4414	372.598658021	0.896962010363	1706.57720319	10447638.6459	4403815.07167	25	222431.256	-1	0	0	0					
8	4	8	4417	493.951391841	0.888400542338	1838.26657693	10446998.6949	5421362.99459	25	222431.087	-1	0	0	0					
8	5	8	4547	502.586653773	0.888905525416	1730.51619962	10447847.1854	5662113.21385	25	222431.18	-1	0	0	0					
5	4	9	5131	346.805507999	0.887272219623	1477.84917978	10446073.1666	4425483.46928	25	244016.884	0	0	0	0					
5	5	9	4835	355.38802471	0.891507752438	1435.09620959	10447920.9983	4235718.64237	25	244018.12999999998	0	0	0	0					
6	4	9	5294	409.119320776	0.882625352588	1626.87203124	10447556.5917	5560976.58702	25	244017.11299999998	0	0	0	0					
6	5	9	4593	439.304627952	0.883769890745	1756.34575683	10448017.7434	5181943.91645	25	244017.927	0	0	0	0					
7	4	9	5861	340.766781695	0.892132966613	1482.56689817	10447648.3204	5303209.61861	25	244017.443	0	0	0	0					
7	5	9	5260	367.762502254	0.895085945305	1685.56783478	10447858.2931	5378890.81405	25	244017.95599999998	0	0	0	0					
8	4	9	5213	477.398112553	0.886363520841	1857.2066839	10447155.2786	6066652.19658	25	244017.207	0	0	0	0					
8	5	9	5428	475.443397941	0.886092090583	1778.78105256	10448085.465	6282039.07147	25	244017.723	0	0	0	0					
5	4	10	5816	336.438605187	0.887804924706	1535.39531067	10446223.3007	5110895.37876	25	265598.124	0	0	0	0					
5	5	10	5887	338.79086504	0.886809887836	1464.00907787	10448009.1439	4888816.96674	25	265602.68	0	0	0	0					
6	4	10	6402	384.095413183	0.879128499061	1656.37022834	10447655.1284	6129901.64471	25	265598.263	0	0	0	0					
6	5	10	5436	423.997932092	0.882890067736	1773.05564996	10448096.5728	5834789.98688	25	265600.447	0	0	0	0					
7	4	10	7092	330.545002007	0.884947589715	1450.04369055	10447694.9014	6039752.03813	25	265598.686	0	0	0	0					
7	5	10	6549	350.769228769	0.890429544229	1654.15964407	10447916.3402	6368853.47978	25	265600.51	0	0	0	0					
8	4	10	6096	453.307398278	0.883530917397	1815.21410186	10447264.2065	6607029.20403	25	265600.32	0	0	0	0					
8	5	10	6373	457.653349259	0.887932311168	1788.73362061	10448134.5542	6732533.77551	25	265600.273	0	0	0	0					
5	4	11	6902	322.040002534	0.885178559993	1462.30551902	10445613.4481	5792045.84508	25	287163.067	0	0	0	0					
5	5	11	7009	323.329942619	0.88433301087	1443.63801305	10447850.7685	5524424.84922	25	287163.083	0	0	0	0					
6	4	11	7302	372.833339037	0.879089329457	1616.35265591	10447277.8224	7069965.32989	25	287163.00299999997	0	0	0	0					
6	5	11	6240	400.597014347	0.879249441582	1732.59047007	10447919.2067	6613772.33857	25	287162.75299999997	0	0	0	0					
7	4	11	8148	323.030601147	0.883953639949	1403.88647071	10447514.6688	6641643.53132	25	287163.1	0	0	0	0					
7	5	11	8060	339.487687274	0.886105977967	1572.73550264	10447752.9485	7516913.07136	25	287162.59599999996	0	0	0	0					
8	4	11	6847	441.751250836	0.884659486984	1826.51071131	10447114.0724	6824940.05148	25	287162.863	0	0	0	0					
8	5	11	7249	440.546538235	0.882904871372	1797.46367219	10447998.7527	7417870.43879	25	287162.67699999997	0	0	0	0					
5	4	12	7841	311.923585551	0.883270921776	1453.75838369	10445490.1877	6414516.09923	25	308723.834	0	0	0	0					
5	5	12	8137	315.869659326	0.882471950464	1455.46198246	10447808.8456	6271155.96263	25	308726.3	0	0	0	0					
6	4	12	8133	362.472764595	0.877600194335	1590.24541022	10447199.7097	7483672.52471	25	308723.98699999996	0	0	0	0					
6	5	12	6844	389.717405111	0.879220519153	1712.60723848	10447891.9748	7019504.86936	25	308726.11	0	0	0	0					
7	4	12	9132	319.285640133	0.881619711755	1385.6849316	10447408.2492	7506771.67508	25	308724.28599999996	0	0	0	0					
7	5	12	9112	340.16483653	0.884904060017	1485.7394615	10447694.1848	8408387.77651	25	308725.843	0	0	0	0					
8	4	12	7591	426.495159915	0.883181761323	1811.61132989	10447041.3344	7346888.54775	25	308724.083	0	0	0	0					
8	5	12	7965	427.855390219	0.883719689884	1808.29840815	10447919.9234	7842738.79507	25	308725.11	0	0	0	0					
5	4	13	8813	303.542652551	0.88486254355	1369.84504992	10445634.9471	6748757.93133	25	331182.374	0	0	0	0					
5	5	13	9284	305.005505985	0.881471437636	1436.88713131	10447747.2154	6818483.92746	25	331185.04	0	0	0	0					
6	4	13	8701	354.64462091	0.876824242458	1528.81564721	10447274.9559	7708575.8941	25	331182.467	0	0	0	0					
6	5	13	7486	375.268061398	0.879821122259	1670.86172334	10447887.3167	7496740.9982	25	331184.277	0	0	0	0					
7	4	13	10384	310.091786477	0.876936718783	1329.14236889	10447407.5326	8430685.01737	25	331182.92	0	0	0	0					
7	5	13	10555	320.737223446	0.882137406083	1516.80073288	10447653.6951	9055937.23105	25	331184.103	0	0	0	0					
8	4	13	8024	410.550048141	0.885895335161	1809.60651216	10447027.7184	7937860.74226	25	331183.697	0	0	0	0					
8	5	13	8515	414.197059932	0.885466107502	1805.15720267	10447946.797	8309333.67786	25	331183.93	0	0	0	0					
